"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"1904","Normal/Others","WS/MP381/2024-2025/147193-Construction of rooms and halls in school and colleges","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","CONSTRUCTION OF SHED/ROOFING INTERLOCKING TILES","Shri Gurjeet Singh Aujla","AMRITSAR","14-Jan-2026","N/A","N/A","7,00,000"
"1905","Normal/Others","WS/MP761/2024-2025/147238-Construction of rooms and halls in school and colleges","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of hall in TSRS&JC (G) Bodhan at Yedapally","Arvind Dharmapuri","NIZAMABAD","04-May-2024","N/A","N/A","4,94,999"
"1906","Normal/Others","WS/MP719/2024-2025/149558-Construction of rooms and halls in school and colleges","Rajasthan","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Construction of New Hall at Govt Senior Sec School Sandoliya","Bhagirath Chaudhary","AJMER","30-Dec-2024","Images","N/A","4,99,583"
"1907","Normal/Others","WS/MP825/2024-2025/150727-Construction of rooms and halls in school and colleges","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Construction of Additional Classroom with Cold Drinking arrangement at Jagacha High School of P.O GIP Colony , Jagacha, Howrah – 711112 at ward no 47 of HMC under A.C - 172","Prasun Banerjee","HOWRAH","18-Jul-2025","Images","N/A","25,00,000"
"1908","Trust and Society","WS/MP18321/2025-2026/152528-Construction of rooms and halls in school and colleges","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Compound wall work around Saber High School in Dedharota  village","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","12-Jan-2026","Images","N/A","5,00,000"
"1909","Normal/Others","WS/MP710/2024-2025/152563-Construction of rooms and halls in school and colleges","Puducherry","PONDICHERRY(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Balance work of Construction of Additional Block with connecting corridor in Thiruvalluvar Government Girls Hr.Sec. School, Laporte Street, Puducherry - Phase-1","Vaithilingam Ve","Puducherry","15-Nov-2023","Images","N/A","15,28,659"
"1910","Normal/Others","WS/MP18215/2024-2025/152765-Construction of rooms and halls in school and colleges","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","DR LOHIA BALIKA INTER COLLEGE , SHERPUR , KHAPRELA BAZAR, BLOCK BIKHAPUR CONSTRUCTION OF A CLASS ROOM FOR CHILDREN IN PREMISES.","AWADHESH PRASAD","FAIZABAD","13-Jan-2026","Images","N/A","9,18,409"
"1911","Normal/Others","WS/MP381/2024-2025/153006-Construction of rooms and halls in school and colleges","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","CONSTRUCTION OF MULTI PUPOSE HALL AT SCHOOL OF EMINANCE KARAMPURA E- BLOCK RANJIT AVENUE ASR","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","N/A","N/A","5,00,000"
"1912","Normal/Others","WS/MP381/2024-2025/153012-Construction of rooms and halls in school and colleges","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","CONSTRUCTION OF MULTIPURPOSE HALL AT SCHOOL OF EMINANCE KARAM PURA E BLOCK RANJIT AVENUE ASR","Shri Gurjeet Singh Aujla","AMRITSAR","05-Feb-2026","N/A","N/A","4,92,600"
"1913","Trust and Society","WS/MP18219/2025-2026/153100-Construction of rooms and halls in school and colleges","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","BRAHMANAND EDUCATION ACADEMY INTER COLLEGE SRINAGAR BHAWAAN NIRMAAN HETU...","AJENDRA SINGH LODHI","HAMIRPUR_UP","22-Jan-2026","Images","N/A","20,00,000"
"1914","Normal/Others","WS/MP858/2024-2025/154535-Construction of rooms and halls in school and colleges","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","construction work at GHURISHA SRIPUR HIGH SCHOOL, UNDER ILLAMBAZAR BLOCK ,EXECUTING AGENCY WILL BE E.O.SSDA, BOLPUR ,BIRBHUM.","Asit Kumar Mal","BOLPUR(SC)","21-Nov-2025","Images","N/A","35,32,487"
"1915","Normal/Others","WS/MP858/2024-2025/154538-Construction of rooms and halls in school and colleges","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","CONSTRUCTION WORK OF SCHOOL BUILDING OF BOLPUR GIRLS JrBASIC SCHOOL,UNDER 8 NO WORD ,BOLPUR MUNICIPALITY.EXECUTING AGENCY WILL BE E.O. SSDA BOLPUR ,BIRBHUM.","Asit Kumar Mal","BOLPUR(SC)","21-Nov-2025","Images","N/A","23,05,148"
"1916","Normal/Others","WS/MP858/2024-2025/154541-Construction of rooms and halls in school and colleges","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","RENOVATION OF OLD SCHOOL BUILDING OF SAILABALA GIRLS HIGH SCHOOL,UNDER 11 NO WORD BOLPUR MUNICIPALITY,EXECUTING AGENCY WILL BE EO SSDA   BOLPUR ,BIRBHUM .","Asit Kumar Mal","BOLPUR(SC)","24-Nov-2025","Images","N/A","28,99,420"
"1917","Normal/Others","WS/MP18064/2024-2025/154958-Construction of rooms and halls in school and colleges","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Fixing paver block in Government School","NAVEEN JINDAL","KURUKSHETRA","14-Jul-2025","Images","N/A","1,94,900"
"1918","Normal/Others","WS/MP18245/2024-2025/156155-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF GROUND FLOOR ADDITIONAL CLASS ROOM AT THAKURANICCHAK BAG PARA PRY. SCHOOL UNDER THAKURANICCHAK G.P WITHIN KHANAKUL-I DEV. BLOCK","BAG MITALI","ARAMBAG(SC)","29-Jan-2026","Images","N/A","10,04,751"
"1919","Normal/Others","WS/MP18245/2024-2025/156398-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF GROUND FLOOR ADDITIONAL CLASS ROOM AT NANDANPUR TARANGINI JUNIOR HIGH SCHOOL UNDER  KHANAKUL-II DEV. BLOCK","BAG MITALI","ARAMBAG(SC)","29-Jan-2026","Images","N/A","11,67,015"
"1920","Normal/Others","WS/MP18245/2024-2025/156399-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF GROUND FLOOR ADDITIONAL CLASS ROOM AT GHORADAHA  SOUTH RAMMOHAN PRY. SCHOOL  WITHIN DHANNAGARI GP UNDER  KHANAKUL-II DEV. BLOCK","BAG MITALI","ARAMBAG(SC)","29-Jan-2026","Images","N/A","11,67,711"
"1921","Trust and Society","WS/MP446/2024-2025/156590-Construction of rooms and halls in school and colleges","Madhya Pradesh","PANNA(DISTRICT COLLECTOR PANNA_IDA)","SARASWATI SHISHU MANDIR PANNA ME ATIRIKT KAKSH NIRMAN, PANNA, JILA PANNA","Vishnu Dutt Sharma","KHAJURAHO","16-Jan-2026","Images","N/A","15,00,000"
"1922","Normal/Others","WS/MP18254/2025-2026/156812-Construction of rooms and halls in school and colleges","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Construction of Class Rooms of Dantan High School","JUNE MALIAH","MEDINIPUR","20-Jan-2026","Images","N/A","16,83,640"
"1923","Normal/Others","WS/MP18137/2024-2025/157427-Construction of rooms and halls in school and colleges","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Construction Of additional classroom for Pearly Stone Academy School","ANDREW J. SYNGKON","SHILLONG","18-Feb-2026","Images","N/A","3,00,000"
"1924","Normal/Others","WS/MP18137/2024-2025/157430-Construction of rooms and halls in school and colleges","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Construction of additional Classrooms for Lumshyiap Secondary School","ANDREW J. SYNGKON","SHILLONG","01-Sep-2025","N/A","N/A","5,00,000"
"1925","Normal/Others","WS/MP18137/2025-2026/157431-Construction of rooms and halls in school and colleges","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Construction for infrastructural facilities for Borsing Syiem College","ANDREW J. SYNGKON","SHILLONG","02-Mar-2026","Images","N/A","5,00,000"
"1926","Normal/Others","WS/MP329/2024-2025/157753-Construction of rooms and halls in school and colleges","Haryana","MAHENDRAGARH(DEPUTY COMMISSIONER MAHENDRAGARH_IDA)","Construction of room for watchman in Kasturba Gandhi Balika Vidyalaya, Niamatpur","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","09-Mar-2026","Images","N/A","1,87,970"
"1927","Normal/Others","WS/MP18152/2024-2025/157883-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Mid day Meal Shed in Govt Middle school Machaki Khurd","SARABJEET SINGH KHALSA","FARIDKOT(SC)","07-Jan-2026","N/A","N/A","2,99,155"
"1928","Normal/Others","WS/MP18152/2024-2025/157885-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Mid day Meal Shed in Govt Primary school Moranwali","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","3,00,000"
"1929","Normal/Others","WS/MP18152/2024-2025/157886-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Mid day meal Shed in Govt Middle school Dawareana","SARABJEET SINGH KHALSA","FARIDKOT(SC)","10-Jun-2025","N/A","N/A","2,99,155"
"1930","Trust and Society","WS/MP18199/2025-2026/158003-Construction of rooms and halls in school and colleges","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","RPRN PUBLIC SCHOOL RAMPUR SAKARWARI AKBARPUR AMBEDKAR NAGAR KO 1 KACHH NIRMAN KARYA","LALJI VERMA","AMBEDKAR NAGAR","13-Jan-2026","N/A","N/A","5,00,000"
"1931","Normal/Others","WS/MP18152/2024-2025/158092-Construction of rooms and halls in school and colleges","Punjab","MOGA(Deputy Commissioner Moga)","Laying of Interlock tiles in Govt Primary School","SARABJEET SINGH KHALSA","FARIDKOT(SC)","13-Aug-2025","Images","N/A","1,50,000"
"1932","Normal/Others","WS/MP18137/2024-2025/158680-Construction of rooms and halls in school and colleges","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Construction of Additional Classrooms of Seng Khasi LP and UP School Lad Ryngud","ANDREW J. SYNGKON","SHILLONG","08-Jan-2026","Images","N/A","3,00,000"
"1933","Normal/Others","WS/MP18137/2025-2026/158696-Construction of rooms and halls in school and colleges","Meghalaya","EAST JAINTIA HILLS(DEPUTY COMMISSIONER EAST JAINTIA HILLS KHLIEHRIAT_IDA)","Financial assistance for Construction of additional classroom for Wapung Secondary School by Dorbar Shnong Wapungskur","ANDREW J. SYNGKON","SHILLONG","17-Feb-2026","N/A","N/A","5,00,000"
"1934","Normal/Others","WS/MP18245/2024-2025/160045-Construction of rooms and halls in school and colleges","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF PROPOSED ROOF TRUSS 1ST FLOOR OF DATPUR HARERCHAK PRIMARY SCHOOL AT HAZIPUR GP UNDER  GOGHAT-II DEV.BLOCK","BAG MITALI","ARAMBAG(SC)","18-Nov-2025","Images","N/A","4,28,985"
"1935","Normal/Others","WS/MP18145/2025-2026/160336-Construction of rooms and halls in school and colleges","Odisha","KENDRAPARA(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of classroom of Saraswati Sishu Mandir","BAIJAYANT PANDA","KENDRAPARA","15-Oct-2025","Images","N/A","8,00,000"
"1936","Normal/Others","WS/MP18145/2024-2025/160337-Construction of rooms and halls in school and colleges","Odisha","KENDRAPARA(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of classroom of Saraswati Sishu Vidya Mandir","BAIJAYANT PANDA","KENDRAPARA","05-Dec-2025","Images","N/A","8,00,000"
"1937","Normal/Others","WS/MP18145/2025-2026/160346-Construction of rooms and halls in school and colleges","Odisha","KENDRAPARA(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of classroom of Saraswati Sishu Mandir","BAIJAYANT PANDA","KENDRAPARA","19-Jan-2026","Images","N/A","8,00,000"
"1938","Normal/Others","WS/MP18145/2025-2026/160351-Construction of rooms and halls in school and colleges","Odisha","KENDRAPARA(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of classroom of Saraswati Sishu Vidya Mandir","BAIJAYANT PANDA","KENDRAPARA","18-Nov-2025","N/A","N/A","8,00,000"
"1939","Repair and Renovation","WS/MP585/2025-2026/160966-Construction of rooms and halls in school and colleges","Gujarat","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","For Construction of rooms at Shri Swaminarayan DwiShatabdi Smarak Secondary and Higher Secondary School, Lavarpur","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","02-Jan-2026","Images","N/A","4,95,000"
"1940","Normal/Others","WS/MP18076/2025-2026/161253-Construction of rooms and halls in school and colleges","Karnataka","RAMANAGARA(DEPUTY COMMISSIONER RAMANAGARA_IDA)","Construction of rooms and halls in school and colleges, Government Higher Primary School, I. Gollahalli, Kanakapura Taluk, Ramanagara District, Karnataka State.","DR C N MANJUNATH","BANGALORE RURAL","02-Feb-2026","Images","N/A","2,00,000"
"1941","Normal/Others","WS/MP18137/2025-2026/161344-Construction of rooms and halls in school and colleges","Meghalaya","EAST JAINTIA HILLS(DEPUTY COMMISSIONER EAST JAINTIA HILLS KHLIEHRIAT_IDA)","Financial assistance for the construction of additional classrooms  for Wellington Jungai Memorial School Ratacherra","ANDREW J. SYNGKON","SHILLONG","12-Feb-2026","Images","N/A","3,00,000"
"1942","Normal/Others","WS/MP18137/2025-2026/161350-Construction of rooms and halls in school and colleges","Meghalaya","EAST JAINTIA HILLS(DEPUTY COMMISSIONER EAST JAINTIA HILLS KHLIEHRIAT_IDA)","Financial assistance for construction of classrooms","ANDREW J. SYNGKON","SHILLONG","27-Feb-2026","Images","N/A","2,00,000"
"1943","Normal/Others","WS/MP18137/2024-2025/161379-Construction of rooms and halls in school and colleges","Meghalaya","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","Financial assistance for construction additional classroom of Mawkohphet Presbyterian school","ANDREW J. SYNGKON","SHILLONG","14-Jan-2026","Images","N/A","3,00,000"
"1944","Repair and Renovation","WS/MP18137/2024-2025/161380-Construction of rooms and halls in school and colleges","Meghalaya","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","financial assistance for repair of  classroom of Jashiar R C L P &  U School","ANDREW J. SYNGKON","SHILLONG","09-Mar-2026","Images","N/A","3,00,000"
"1945","Normal/Others","WS/MP18137/2024-2025/161387-Construction of rooms and halls in school and colleges","Meghalaya","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","Financial assistance for construction of classroom for Rembyrngaw Presbyterian .L.P School","ANDREW J. SYNGKON","SHILLONG","14-Jan-2026","Images","N/A","2,00,000"
"1946","Normal/Others","WS/MP18137/2024-2025/161388-Construction of rooms and halls in school and colleges","Meghalaya","SOUTH WEST KHASI HILLS(DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT_IDA)","Financial Assistance for construction of classroom for Pyndenwar Lower Primary school","ANDREW J. SYNGKON","SHILLONG","13-Jan-2026","Images","N/A","2,00,000"
"1947","Normal/Others","WS/MP18137/2025-2026/161413-Construction of rooms and halls in school and colleges","Meghalaya","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","Financial assistance towards St Peter's Higher Sec. School for construction of school hall.","ANDREW J. SYNGKON","SHILLONG","17-Feb-2026","Images","N/A","3,00,000"
"1948","Repair and Renovation","WS/MP18137/2025-2026/161414-Construction of rooms and halls in school and colleges","Meghalaya","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","Financial assistance for Repair of School Building the Office of Dorbar Shnong Shangpung Mission","ANDREW J. SYNGKON","SHILLONG","19-Feb-2026","N/A","N/A","1,50,000"
"1949","Normal/Others","WS/MP18137/2025-2026/161981-Construction of rooms and halls in school and colleges","Meghalaya","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","Financial assistance construction of classroom for Pahamkroh UP School by Dorbar Shnong Pahamkroh","ANDREW J. SYNGKON","SHILLONG","20-Feb-2026","N/A","N/A","3,00,000"
"1950","Normal/Others","WS/MP18240/2025-2026/162228-Construction of rooms and halls in school and colleges","Uttar Pradesh","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","construction and renovation work related , in favour of School Manager of Lt. Ram Belas Yadav Purva Madhamik Balika Vidhyalay, bhagwanpur, baghauli, santkabir nagar","LAXMIKANT PAPPU NISHAD","SANT KABIR NAGAR","12-Sep-2025","Images","N/A","10,00,000"
"1951","Normal/Others","WS/MP18240/2025-2026/162231-Construction of rooms and halls in school and colleges","Uttar Pradesh","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","construction and renovation work related , in favour of School Manager  of LATE IFTEKHAR AHMAD KHAN MEMORIAL GIC NANDAUR MEHDAWAL SANT KABIR NAGAR","LAXMIKANT PAPPU NISHAD","SANT KABIR NAGAR","22-Nov-2025","Images","N/A","9,98,365"
"1952","Normal/Others","WS/MP18144/2025-2026/163494-Construction of rooms and halls in school and colleges","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","CONSTRUCTION OF ADDITIONAL CLASS ROOM BUILDING AT SRASWATI SISHU VIDYA MANDIR AT BAJARPADA, LADUGAON  IN KOKSARA BLOCK.","MALVIKA DEVI","KALAHANDI","30-Oct-2025","N/A","N/A","5,00,000"
"1953","Normal/Others","WS/MP18144/2025-2026/163495-Construction of rooms and halls in school and colleges","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","CONSTRUCTION OF ADDITIONAL CLASS ROOM BUILDING AT SRASWATI SISHU VIDYA MANDIR AT RANMAL-KHALIABHATA IN JAIPATNA BLOCK","MALVIKA DEVI","KALAHANDI","06-Dec-2025","N/A","N/A","5,00,000"
"1954","Normal/Others","WS/MP18313/2024-2025/164220-Construction of rooms and halls in school and colleges","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","GSSS Nagriya Panchela Mein Gate Nirman Kary","RAJ KUMAR ROAT","BANSWARA(ST)","17-Feb-2026","Images","N/A","3,29,000"
"1955","Normal/Others","WS/MP18160/2024-2025/164417-Construction of rooms and halls in school and colleges","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","GPS HANUMAN SUTHAR KI DHANI AND GUPS SUTHARON KI DHANI TIN SHED","UMMEDA RAM BENIWAL","BARMER","03-Feb-2026","Images","N/A","9,99,009"
